time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/clip_range,train/value_loss,train/n_updates,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/approx_kl,train/entropy_loss
1,1351,2048,1,,,,,,,,,,
4,965,4096,2,0.2,7.769145394861698,10,3.7841062545776367,-0.04355045549746137,0.00721287727355957,0.366650390625,0.0005,0.019049963,-1.7747876275330783
7,845,6144,3,0.2,7.699312474578619,20,2.7585182189941406,-0.03847141172736883,-0.009464144706726074,0.36396484375,0.0005,0.02043616,-1.780822041630745
10,802,8192,4,0.2,9.938692508637905,30,3.836013078689575,-0.03872409109026194,0.014036715030670166,0.34091796875,0.0005,0.019171357,-1.7730110105127097
13,779,10240,5,0.2,9.714458307623863,40,5.6056013107299805,-0.03208618963108165,-0.06873106956481934,0.332763671875,0.0005,0.015943326,-1.7735322896391152
16,757,12288,6,0.2,9.678364743292331,50,5.553410530090332,-0.030729104086640292,0.0013293027877807617,0.31484375,0.0005,0.016728355,-1.7754950948059558
19,749,14336,7,0.2,8.242431244254112,60,3.3354246616363525,-0.028414496284676717,0.0060416460037231445,0.26669921875,0.0005,0.014094227,-1.7703710675239563
22,730,16384,8,0.2,7.822889785468578,70,3.101496696472168,-0.029939883132465185,-0.011376261711120605,0.356982421875,0.0005,0.02046469,-1.7629854507744311
25,726,18432,9,0.2,7.743612841516733,80,3.3981263637542725,-0.019391779400757515,-0.03663277626037598,0.173681640625,0.0005,0.01561843,-1.7463374093174935
28,726,20480,10,0.2,7.694866982102394,90,3.2230241298675537,-0.008381490621832199,-0.003153085708618164,0.116064453125,0.0005,0.013266316,-1.7605838660150765
31,726,22528,11,0.2,7.290310433506965,100,3.121223211288452,-0.009975630863482365,0.019331634044647217,0.145703125,0.0005,0.008275896,-1.7506878484040498
33,725,24576,12,0.2,8.398345045745373,110,4.122260093688965,-0.004343980923295021,-0.009317159652709961,0.078515625,0.0005,0.00908309,-1.7555976383388043
36,722,26624,13,0.2,5.7799938775599005,120,1.9707679748535156,-0.015587909730675165,0.12106263637542725,0.21357421875,0.0005,0.014544027,-1.7394558254629373
39,720,28672,14,0.2,7.115033756196499,130,3.371826171875,-0.011004191980464383,0.1355922818183899,0.157958984375,0.0005,0.013079001,-1.742933875694871
42,721,30720,15,0.2,5.595386550575495,140,2.319030284881592,-0.014299987425329164,0.3139268755912781,0.1388671875,0.0005,0.013246076,-1.7433785393834114
45,720,32768,16,0.2,4.370058343559504,150,1.7626874446868896,-0.010642640166042838,0.5034215450286865,0.19345703125,0.0005,0.012052578,-1.7312924545258284
48,716,34816,17,0.2,3.760206336528063,160,2.02719783782959,-0.003421822476957459,0.6499691009521484,0.05625,0.0005,0.0074527226,-1.7394465889781714
51,713,36864,18,0.2,2.4205367542803287,170,1.0357847213745117,-0.0034001825682935306,0.7531327605247498,0.07744140625,0.0005,0.009856318,-1.7193617604672908
54,714,38912,19,0.2,1.8171563271433115,180,0.739723801612854,-0.00422891192138195,0.8031975030899048,0.072021484375,0.0005,0.009768724,-1.713770727813244
57,715,40960,20,0.2,2.479179251566529,190,0.7614685297012329,-0.00855153232550947,0.7867037653923035,0.155322265625,0.0005,0.008929439,-1.7040367744863034
60,709,43008,21,0.2,0.7162012031301856,200,0.5816108584403992,-0.017462784564122556,0.8971838355064392,0.208447265625,0.0005,0.013396225,-1.7042534049600362
63,711,45056,22,0.2,0.8993961793370545,210,0.51695317029953,-0.010337561467895284,0.8826818466186523,0.16982421875,0.0005,0.013718035,-1.6791644081473351
66,707,47104,23,0.2,1.30607634074986,220,0.6921631693840027,-0.010700878125499002,0.8450162410736084,0.1556640625,0.0005,0.0077217557,-1.6698942471295595
69,708,49152,24,0.2,0.7918561896309256,230,0.35330429673194885,-0.006404072517034365,0.8938872218132019,0.171337890625,0.0005,0.016482554,-1.646036908403039
72,710,51200,25,0.2,1.0409372802823782,240,0.4504241347312927,-0.00951993094786303,0.8690485954284668,0.138720703125,0.0005,0.011063314,-1.626316361501813
