#{"t_start": 1742567478.495862, "env_id": "None"}
r,l,t
-14394.485058,135420,21.589628
-27095.389395,248194,60.89551
-16704.96271,147602,84.195118
-12457.01751,109282,101.442539
-3437.916102,30101,106.211635
-19115.952632,176275,134.059307
-5448.390185,59844,143.506276
-2219.540289,24562,147.378884
-6621.981431,64565,157.595169
-739.157082,8679,158.966646
-3218.918981,38535,165.057084
-9371.755226,114186,183.075087
-1990.459909,24217,186.870388
-4499.522764,63247,196.879142
-7581.979853,88382,210.833841
-1786.467953,20647,214.129583
-1732.611848,25564,218.154618
-4791.52858,68003,228.8714
-4047.969995,59526,238.258829
-543.221184,14226,240.515384
-2166.053288,35149,246.069587
-7516.441041,136718,267.677556
-1845.945961,37068,273.534204
-1708.356889,37545,279.501869
-3736.314165,45061,286.607367
-5302.111404,69524,297.588039
-2802.697584,52982,305.920028
-681.551524,12648,307.953015
-503.290337,15403,310.367838
-692.561828,19060,313.367248
-7946.836559,177573,341.45296
-1666.38028,20339,344.668772
-164.323026,4176,345.325266
-1981.383044,50460,353.332697
-495.176229,16609,355.945915
-523.294097,12397,357.907436
-444.167134,12413,359.867813
-350.332947,14244,362.121391
-214.345414,5444,362.991241
-282.190636,9176,364.427087
-670.266022,25061,368.386649
-346.079458,11998,370.284529
-540.441594,29391,374.903079
-121.920528,4930,375.709216
-2171.989718,47758,383.249551
-223.798433,7311,384.42414
-409.552379,12324,386.371235
-1802.796907,74033,398.061537
-1463.757169,43235,404.893648
-1124.588009,13654,407.070624
-59.021494,2106,407.401833
232.611015,33665,412.700957
-160.163041,6568,413.729079
-279.589954,32397,418.838875
-513.212531,28784,423.394161
-148.545528,11813,425.278449
-1441.569714,46121,432.592924
-501.997513,23417,436.277599
-703.089735,26354,440.458879
-555.950722,24366,444.315403
-12.519558,725,444.415914
6.099488,858,444.573714
-190.672037,8529,445.91599
-523.890138,20113,449.061856
-261.327607,23263,452.765474
-901.585786,63620,462.813833
-353.393571,10598,464.481468
-583.242164,21896,467.971296
-280.790803,10797,469.672516
-5.315358,3874,470.291325
2.381926,2425,470.667437
-755.089198,40379,477.09536
-440.595477,14061,479.324631
-32.777672,2579,479.719577
-80.358949,17070,482.410014
54.323385,12236,484.341827
-151.647668,11946,486.235882
-23.076928,4642,486.95246
-321.085002,35859,492.652551
-181.02203,10833,494.354548
-103.153026,15236,496.778612
-333.102096,19495,499.839982
-83.583719,30705,504.694036
41.466697,3607,505.27428
-77.539311,9352,506.730607
